population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,135,Brazil,1,Male,22,All ages,515,Asthma,1,Number,2000,1292.5699655595695,1521.8186283200034,1108.0601393923766
1,All Population,1,Deaths,135,Brazil,2,Female,22,All ages,515,Asthma,1,Number,2000,1926.643945036221,2236.2700631805574,1655.2451978793845
1,All Population,1,Deaths,135,Brazil,1,Male,22,All ages,515,Asthma,2,Percent,2000,0.0022654808171000424,0.0026816921256305297,0.0019461736210439832
1,All Population,1,Deaths,135,Brazil,2,Female,22,All ages,515,Asthma,2,Percent,2000,0.004702626133833333,0.005437446505565452,0.004067781344204751
1,All Population,1,Deaths,135,Brazil,1,Male,22,All ages,515,Asthma,3,Rate,2000,1.4977848890109364,1.763430225091367,1.283981352745402
1,All Population,1,Deaths,135,Brazil,2,Female,22,All ages,515,Asthma,3,Rate,2000,2.167798949041959,2.516180483283678,1.8624296459210175
1,All Population,1,Deaths,135,Brazil,1,Male,24,15-49 years,515,Asthma,1,Number,2000,233.79367694330074,288.9352906173762,187.37146886463293
1,All Population,1,Deaths,135,Brazil,2,Female,24,15-49 years,515,Asthma,1,Number,2000,385.6360710871663,458.7273771161475,318.2793542307975
1,All Population,1,Deaths,135,Brazil,1,Male,24,15-49 years,515,Asthma,2,Percent,2000,0.0014859063250688372,0.0018304107410067796,0.0011942061290120334
1,All Population,1,Deaths,135,Brazil,2,Female,24,15-49 years,515,Asthma,2,Percent,2000,0.006251030238218471,0.007366743341118789,0.005138347023464435
1,All Population,1,Deaths,135,Brazil,1,Male,24,15-49 years,515,Asthma,3,Rate,2000,0.49539638534368524,0.6122385363090419,0.3970301917728398
1,All Population,1,Deaths,135,Brazil,2,Female,24,15-49 years,515,Asthma,3,Rate,2000,0.7936151668473447,0.944032550951875,0.6549992123398789
1,All Population,1,Deaths,135,Brazil,1,Male,25,50-69 years,515,Asthma,1,Number,2000,389.950374879679,454.39619426181275,340.3667688579742
1,All Population,1,Deaths,135,Brazil,2,Female,25,50-69 years,515,Asthma,1,Number,2000,571.084866469818,651.3709035256744,501.5782300610334
1,All Population,1,Deaths,135,Brazil,1,Male,25,50-69 years,515,Asthma,2,Percent,2000,0.002438159903466551,0.002856238988706529,0.0021454554065768023
1,All Population,1,Deaths,135,Brazil,2,Female,25,50-69 years,515,Asthma,2,Percent,2000,0.005472353113487193,0.0061984064221381864,0.004827668153525757
1,All Population,1,Deaths,135,Brazil,1,Male,25,50-69 years,515,Asthma,3,Rate,2000,3.895002830068147,4.538717171814644,3.3997390780096595
