population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,50,Montenegro,1,Male,22,All ages,515,Asthma,1,Number,2010,3.3477914823730037,5.31023541251566,1.999740907042157
1,All Population,1,Deaths,50,Montenegro,2,Female,22,All ages,515,Asthma,1,Number,2010,2.8429670455961507,5.048503246631015,1.6129644950627895
1,All Population,1,Deaths,50,Montenegro,1,Male,22,All ages,515,Asthma,2,Percent,2010,0.0010628845492234404,0.0016760774467687262,0.0006236027410534739
1,All Population,1,Deaths,50,Montenegro,2,Female,22,All ages,515,Asthma,2,Percent,2010,0.000974747846687035,0.0017361385564111593,0.0005482966236891951
1,All Population,1,Deaths,50,Montenegro,1,Male,22,All ages,515,Asthma,3,Rate,2010,1.0652703705739281,1.6897218585775355,0.6363194208220679
1,All Population,1,Deaths,50,Montenegro,2,Female,22,All ages,515,Asthma,3,Rate,2010,0.8828462920893839,1.5677467590746548,0.5008850615921955
1,All Population,1,Deaths,50,Montenegro,1,Male,24,15-49 years,515,Asthma,1,Number,2010,0.10197200475091726,0.18125489069236775,0.054176116533022844
1,All Population,1,Deaths,50,Montenegro,2,Female,24,15-49 years,515,Asthma,1,Number,2010,0.1817075774480309,0.3415490102652712,0.10174495620806523
1,All Population,1,Deaths,50,Montenegro,1,Male,24,15-49 years,515,Asthma,2,Percent,2010,0.0003749270038385157,0.0006718690786625844,0.00019850141793836639
1,All Population,1,Deaths,50,Montenegro,2,Female,24,15-49 years,515,Asthma,2,Percent,2010,0.0012867670330767597,0.002411805550265785,0.0007276385985135326
1,All Population,1,Deaths,50,Montenegro,1,Male,24,15-49 years,515,Asthma,3,Rate,2010,0.06444445058668943,0.11454979114466217,0.034238319364410734
1,All Population,1,Deaths,50,Montenegro,2,Female,24,15-49 years,515,Asthma,3,Rate,2010,0.11651340326403345,0.2190059331942314,0.06524026834347191
1,All Population,1,Deaths,50,Montenegro,1,Male,25,50-69 years,515,Asthma,1,Number,2010,0.9114261241412518,1.4791289023721883,0.5321059822826771
1,All Population,1,Deaths,50,Montenegro,2,Female,25,50-69 years,515,Asthma,1,Number,2010,0.7044590519490085,1.372731191077743,0.3815366020401254
1,All Population,1,Deaths,50,Montenegro,1,Male,25,50-69 years,515,Asthma,2,Percent,2010,0.0008493732850411646,0.0013841237000664867,0.0004909858858509796
1,All Population,1,Deaths,50,Montenegro,2,Female,25,50-69 years,515,Asthma,2,Percent,2010,0.0011228875673127516,0.0022144713911570165,0.0006067998917667347
1,All Population,1,Deaths,50,Montenegro,1,Male,25,50-69 years,515,Asthma,3,Rate,2010,1.33560620371666,2.167519325788761,0.7797494850623242
1,All Population,1,Deaths,50,Montenegro,2,Female,25,50-69 years,515,Asthma,3,Rate,2010,0.9582072669652157,1.8671929890620829,0.5189672042350687
1,All Population,1,Deaths,50,Montenegro,1,Male,26,70+ years,515,Asthma,1,Number,2010,2.330112318186723,3.7509079128555722,1.350548959765815
1,All Population,1,Deaths,50,Montenegro,2,Female,26,70+ years,515,Asthma,1,Number,2010,1.9486518243592432,3.434270359053783,1.0887221742282907
1,All Population,1,Deaths,50,Montenegro,1,Male,26,70+ years,515,Asthma,2,Percent,2010,0.0013242975852904078,0.002137402624976927,0.0007619811861692056
1,All Population,1,Deaths,50,Montenegro,2,Female,26,70+ years,515,Asthma,2,Percent,2010,0.0009228713525310065,0.0016274630929509482,0.0005163695448147688
1,All Population,1,Deaths,50,Montenegro,1,Male,26,70+ years,515,Asthma,3,Rate,2010,9.982246938145977,16.06896317234508,5.7857782705212095
1,All Population,1,Deaths,50,Montenegro,2,Female,26,70+ years,515,Asthma,3,Rate,2010,5.902055367326031,10.401680563005158,3.2975098330066497
1,All Population,1,Deaths,50,Montenegro,1,Male,27,Age-standardized,515,Asthma,3,Rate,2010,0.9644268061732191,1.5566214127222833,0.5678070429471187
1,All Population,1,Deaths,50,Montenegro,2,Female,27,Age-standardized,515,Asthma,3,Rate,2010,0.6192220348698011,1.0872191670411075,0.3522972026787124
