population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,22,All ages,515,Asthma,1,Number,1995,263.5111103602991,545.680070828668,76.2418164591935
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,22,All ages,515,Asthma,1,Number,1995,104.06603624855559,250.0590041051526,30.634836970582423
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,22,All ages,515,Asthma,2,Percent,1995,0.013148185080943188,0.027142134132559264,0.0038422206941006753
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,22,All ages,515,Asthma,2,Percent,1995,0.006578396715683515,0.015688295177760426,0.001996638202128545
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,22,All ages,515,Asthma,3,Rate,1995,10.670383968639335,22.09628228508059,3.087268142029308
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,22,All ages,515,Asthma,3,Rate,1995,4.540310887029038,10.909857429628238,1.3365713621270543
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,24,15-49 years,515,Asthma,1,Number,1995,39.51011319099888,73.39166984860736,14.15618375097389
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,24,15-49 years,515,Asthma,1,Number,1995,32.70808105312565,73.68958159156023,11.198814130303266
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,24,15-49 years,515,Asthma,2,Percent,1995,0.009347275766761974,0.01723238481236713,0.00343384854998307
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,24,15-49 years,515,Asthma,2,Percent,1995,0.00899640912096843,0.020440903059287457,0.0031100631655902947
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,24,15-49 years,515,Asthma,3,Rate,1995,3.3210601629997965,6.169006650321902,1.1899114965374218
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,24,15-49 years,515,Asthma,3,Rate,1995,2.8741808811620326,6.475377941227536,0.9840815000037728
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,25,50-69 years,515,Asthma,1,Number,1995,92.35042621548959,189.74432644324702,25.38169976676785
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,25,50-69 years,515,Asthma,1,Number,1995,26.5810655762289,69.53360974412429,6.4129413649934595
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,25,50-69 years,515,Asthma,2,Percent,1995,0.018269970581211905,0.03685119375807382,0.005086146873560709
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,25,50-69 years,515,Asthma,2,Percent,1995,0.007814295775775188,0.020125959857522798,0.0019268547391068209
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,25,50-69 years,515,Asthma,3,Rate,1995,45.70512901471504,93.90632263746113,12.561651418326779
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,25,50-69 years,515,Asthma,3,Rate,1995,15.103832859315439,39.51023019255187,3.643947013172866
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,26,70+ years,515,Asthma,1,Number,1995,121.96312994176294,264.6379937349559,34.52571347724458
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,26,70+ years,515,Asthma,1,Number,1995,38.1569095345134,104.45037757179502,9.571159353492671
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,26,70+ years,515,Asthma,2,Percent,1995,0.0325651743114219,0.07229984189746021,0.009253268433178712
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,26,70+ years,515,Asthma,2,Percent,1995,0.011743461491523161,0.030937545233055495,0.0030758302676173943
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,26,70+ years,515,Asthma,3,Rate,1995,325.2772194583177,705.7928966421034,92.08051716166332
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,26,70+ years,515,Asthma,3,Rate,1995,97.2934068463563,266.33008816283245,24.404772617352013
1,All Population,1,Deaths,26,Papua New Guinea,1,Male,27,Age-standardized,515,Asthma,3,Rate,1995,32.12747744152043,67.93674437509176,9.166849127205905
1,All Population,1,Deaths,26,Papua New Guinea,2,Female,27,Age-standardized,515,Asthma,3,Rate,1995,12.921058947107568,33.293247815668586,3.6420873252700723
1,All Population,1,Deaths,111,Dominican Republic,1,Male,22,All ages,515,Asthma,1,Number,1995,151.74685100442787,202.5805159575361,95.13787278454237
1,All Population,1,Deaths,111,Dominican Republic,2,Female,22,All ages,515,Asthma,1,Number,1995,166.08357509897195,232.6018774387505,107.10509102503357
1,All Population,1,Deaths,111,Dominican Republic,1,Male,22,All ages,515,Asthma,2,Percent,1995,0.006378409072918279,0.008530355655377799,0.0040089649351511165
1,All Population,1,Deaths,111,Dominican Republic,2,Female,22,All ages,515,Asthma,2,Percent,1995,0.009270647011797415,0.012724062634455304,0.005873903349763856
1,All Population,1,Deaths,111,Dominican Republic,1,Male,22,All ages,515,Asthma,3,Rate,1995,3.9148793646624847,5.226324476293055,2.454438378765575
1,All Population,1,Deaths,111,Dominican Republic,2,Female,22,All ages,515,Asthma,3,Rate,1995,4.108361765755782,5.753805933807182,2.649427919785697
1,All Population,1,Deaths,111,Dominican Republic,1,Male,24,15-49 years,515,Asthma,1,Number,1995,31.141263620847344,43.06010665506877,20.162515296673686
1,All Population,1,Deaths,111,Dominican Republic,2,Female,24,15-49 years,515,Asthma,1,Number,1995,44.102415614622075,60.905296237763736,28.684325526619784
1,All Population,1,Deaths,111,Dominican Republic,1,Male,24,15-49 years,515,Asthma,2,Percent,1995,0.005421856096954075,0.007399573104261325,0.0036065226012852577
1,All Population,1,Deaths,111,Dominican Republic,2,Female,24,15-49 years,515,Asthma,2,Percent,1995,0.014172816801299707,0.019497043998323537,0.009363906834060628
1,All Population,1,Deaths,111,Dominican Republic,1,Male,24,15-49 years,515,Asthma,3,Rate,1995,1.5923082510295152,2.201739914984583,1.0309453032891651
1,All Population,1,Deaths,111,Dominican Republic,2,Female,24,15-49 years,515,Asthma,3,Rate,1995,2.082139747363439,2.875428394438059,1.3542290931901948
1,All Population,1,Deaths,111,Dominican Republic,1,Male,25,50-69 years,515,Asthma,1,Number,1995,37.153107886222614,54.4405185651322,22.133375911086596
1,All Population,1,Deaths,111,Dominican Republic,2,Female,25,50-69 years,515,Asthma,1,Number,1995,41.81284195862124,64.68930539002184,25.079853565042065
1,All Population,1,Deaths,111,Dominican Republic,1,Male,25,50-69 years,515,Asthma,2,Percent,1995,0.007466762829894407,0.010830907198270635,0.004467770759425437
1,All Population,1,Deaths,111,Dominican Republic,2,Female,25,50-69 years,515,Asthma,2,Percent,1995,0.012126554456405158,0.018952222858671697,0.007486851737368246
1,All Population,1,Deaths,111,Dominican Republic,1,Male,25,50-69 years,515,Asthma,3,Rate,1995,10.252713571047948,15.02332039669285,6.10789181544766
1,All Population,1,Deaths,111,Dominican Republic,2,Female,25,50-69 years,515,Asthma,3,Rate,1995,11.045192776052712,17.088191452970964,6.625041600740714
1,All Population,1,Deaths,111,Dominican Republic,1,Male,26,70+ years,515,Asthma,1,Number,1995,50.55523047944492,76.57547795562799,26.17124129787723
1,All Population,1,Deaths,111,Dominican Republic,2,Female,26,70+ years,515,Asthma,1,Number,1995,55.27440167574439,82.47234682751134,30.93050330816685
1,All Population,1,Deaths,111,Dominican Republic,1,Male,26,70+ years,515,Asthma,2,Percent,1995,0.007352182662440716,0.01089140874696637,0.003853421125980372
1,All Population,1,Deaths,111,Dominican Republic,2,Female,26,70+ years,515,Asthma,2,Percent,1995,0.008879183728127,0.013468112780882809,0.005007137863395521
1,All Population,1,Deaths,111,Dominican Republic,1,Male,26,70+ years,515,Asthma,3,Rate,1995,44.81460842436044,67.88021787152162,23.199457694504726
1,All Population,1,Deaths,111,Dominican Republic,2,Female,26,70+ years,515,Asthma,3,Rate,1995,44.1695140793086,65.90326396875152,24.716419534753435
1,All Population,1,Deaths,111,Dominican Republic,1,Male,27,Age-standardized,515,Asthma,3,Rate,1995,5.776755137656142,8.117927072451366,3.479581977490125
1,All Population,1,Deaths,111,Dominican Republic,2,Female,27,Age-standardized,515,Asthma,3,Rate,1995,5.974426494030573,8.697312320775358,3.8444337626064318
1,All Population,1,Deaths,111,Dominican Republic,1,Male,39,0-14 years,515,Asthma,1,Number,1995,32.89724901791314,44.33881832790251,22.1483175343546
1,All Population,1,Deaths,111,Dominican Republic,2,Female,39,0-14 years,515,Asthma,1,Number,1995,24.893915849984214,40.876359758575354,9.017701466623675
1,All Population,1,Deaths,111,Dominican Republic,1,Male,39,0-14 years,515,Asthma,2,Percent,1995,0.005311653267397094,0.0071689646269586915,0.003537292364017106
1,All Population,1,Deaths,111,Dominican Republic,2,Female,39,0-14 years,515,Asthma,2,Percent,1995,0.0048521463118632304,0.00769178756650159,0.0017734854802430745
1,All Population,1,Deaths,111,Dominican Republic,1,Male,39,0-14 years,515,Asthma,3,Rate,1995,2.2762441779874645,3.0679154060199965,1.5324983196114805
1,All Population,1,Deaths,111,Dominican Republic,2,Female,39,0-14 years,515,Asthma,3,Rate,1995,1.7521773203271604,2.87711386742536,0.6347178196679331
1,All Population,1,Deaths,128,Guatemala,1,Male,22,All ages,515,Asthma,1,Number,1995,261.3811161725601,314.4596892880356,211.27663211118625
1,All Population,1,Deaths,128,Guatemala,2,Female,22,All ages,515,Asthma,1,Number,1995,300.19314719043575,362.3535568218066,243.63738840246202
1,All Population,1,Deaths,128,Guatemala,1,Male,22,All ages,515,Asthma,2,Percent,1995,0.006804896201210818,0.008188008928327172,0.005457410172049896
1,All Population,1,Deaths,128,Guatemala,2,Female,22,All ages,515,Asthma,2,Percent,1995,0.01024673160070418,0.012178934290247544,0.008303367165519078
1,All Population,1,Deaths,128,Guatemala,1,Male,22,All ages,515,Asthma,3,Rate,1995,5.509507522927783,6.628321315477827,4.4533829034035906
1,All Population,1,Deaths,128,Guatemala,2,Female,22,All ages,515,Asthma,3,Rate,1995,6.096896568124228,7.359369051929073,4.948254052832848
1,All Population,1,Deaths,128,Guatemala,1,Male,24,15-49 years,515,Asthma,1,Number,1995,38.56655558750085,47.76875290079379,29.46444250527885
1,All Population,1,Deaths,128,Guatemala,2,Female,24,15-49 years,515,Asthma,1,Number,1995,44.465992584529594,53.945099833392995,35.48045127742602
