population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,48,Hungary,2,Female,24,15-49 years,515,Asthma,2,Percent,2019,0.0013283638159836979,0.0016117485680280862,0.0010273018667808908
1,All Population,1,Deaths,48,Hungary,1,Male,24,15-49 years,515,Asthma,3,Rate,2019,0.05982648315353095,0.07851915738174976,0.0480181746609942
1,All Population,1,Deaths,48,Hungary,2,Female,24,15-49 years,515,Asthma,3,Rate,2019,0.10666357139749795,0.1289651159363279,0.08258547507348148
1,All Population,1,Deaths,48,Hungary,1,Male,25,50-69 years,515,Asthma,1,Number,2019,11.602882036593616,13.783801835855467,9.590367369689728
1,All Population,1,Deaths,48,Hungary,2,Female,25,50-69 years,515,Asthma,1,Number,2019,15.525839963024705,18.036155937305292,13.20057672712372
1,All Population,1,Deaths,48,Hungary,1,Male,25,50-69 years,515,Asthma,2,Percent,2019,0.0004871788845248126,0.0005785317837319542,0.0004011537887859293
1,All Population,1,Deaths,48,Hungary,2,Female,25,50-69 years,515,Asthma,2,Percent,2019,0.0012061424082277167,0.001395561164022003,0.0010176908839445208
1,All Population,1,Deaths,48,Hungary,1,Male,25,50-69 years,515,Asthma,3,Rate,2019,0.9888745641458555,1.1747470145534695,0.8173547160774891
1,All Population,1,Deaths,48,Hungary,2,Female,25,50-69 years,515,Asthma,3,Rate,2019,1.1404064762926234,1.3247946061089941,0.9696108697668667
1,All Population,1,Deaths,48,Hungary,1,Male,26,70+ years,515,Asthma,1,Number,2019,20.859009195175574,25.378229074884995,17.0599620803696
1,All Population,1,Deaths,48,Hungary,2,Female,26,70+ years,515,Asthma,1,Number,2019,52.08329634781081,61.46711674310948,43.290911065185234
1,All Population,1,Deaths,48,Hungary,1,Male,26,70+ years,515,Asthma,2,Percent,2019,0.0005899229058380195,0.0007140513001388722,0.00048660293524350264
1,All Population,1,Deaths,48,Hungary,2,Female,26,70+ years,515,Asthma,2,Percent,2019,0.0010006904333949096,0.0011720430174968922,0.0008335121786276266
1,All Population,1,Deaths,48,Hungary,1,Male,26,70+ years,515,Asthma,3,Rate,2019,4.5774315573524955,5.569157458541567,3.7437448760501124
1,All Population,1,Deaths,48,Hungary,2,Female,26,70+ years,515,Asthma,3,Rate,2019,6.306475682629943,7.4427101240509215,5.241854818257135
1,All Population,1,Deaths,48,Hungary,1,Male,27,Age-standardized,515,Asthma,3,Rate,2019,0.45355873358779986,0.5443696806678109,0.3758323662720439
1,All Population,1,Deaths,48,Hungary,2,Female,27,Age-standardized,515,Asthma,3,Rate,2019,0.5640625309041717,0.6477344216579485,0.4756615267320889
1,All Population,1,Deaths,48,Hungary,1,Male,39,0-14 years,515,Asthma,1,Number,2019,0.016356643402282843,0.022992727934494854,0.011110399595086477
1,All Population,1,Deaths,48,Hungary,2,Female,39,0-14 years,515,Asthma,1,Number,2019,0.0449909281391127,0.06014883727702954,0.03140957882388705
1,All Population,1,Deaths,48,Hungary,1,Male,39,0-14 years,515,Asthma,2,Percent,2019,5.9413869081081245e-05,8.347435488460182e-05,4.04649803912767e-05
1,All Population,1,Deaths,48,Hungary,2,Female,39,0-14 years,515,Asthma,2,Percent,2019,0.00022284503436967076,0.0002939300909473928,0.00015466982792194147
1,All Population,1,Deaths,48,Hungary,1,Male,39,0-14 years,515,Asthma,3,Rate,2019,0.0022484592941201054,0.0031606859396515656,0.00152728653529696
1,All Population,1,Deaths,48,Hungary,2,Female,39,0-14 years,515,Asthma,3,Rate,2019,0.0065245592237851025,0.008722750725265035,0.004554999545618158
1,All Population,1,Deaths,15,Myanmar,1,Male,22,All ages,515,Asthma,1,Number,2019,4844.968394163646,8509.43737924239,2724.114164052896
1,All Population,1,Deaths,15,Myanmar,2,Female,22,All ages,515,Asthma,1,Number,2019,6501.490780561658,11493.977649071583,3108.9387279452144
